buyer_id,sex,occupation,year_of_birth,phone_n,channel
1,M,Civil servant,1962,064-652-8882,Friends
2,M,Self-employed,1975,074-463-5451,Friends
3,F,Clerk,1975,094-719-8155,Friends
4,F,Civil servant,1967,043-495-8736,Internet
5,M,Student,1985,027-676-4836,Internet
6,F,Clerk,1975,047-392-7932,Outdoor advertising
7,M,Self-employed,1984,061-682-3541,Friends
8,F,Self-employed,1978,084-587-1275,Friends
9,M,Clerk,1986,093-248-1394,Outdoor advertising
10,M,Civil servant,1972,024-569-8134,Radio
11,M,Clerk,1971,049-583-8154,Friends
12,M,Civil servant,1985,043-871-2763,Friends
13,F,Clerk,1968,035-582-5432,Internet
14,F,Student,1979,046-979-1339,Outdoor advertising
15,F,Unemployed,1982,055-234-8684,Outdoor advertising
16,M,Clerk,1985,045-779-7213,Radio
17,F,Clerk,1983,014-691-9271,Incidental
18,M,Clerk,1963,098-461-6347,Internet
19,M,Clerk,1970,025-634-1384,Outdoor advertising
20,M,Unemployed,1980,095-835-8187,Outdoor advertising
21,F,Self-employed,1991,068-554-2356,Internet
22,F,Unemployed,1978,025-874-4852,Internet
23,F,Clerk,1962,074-264-3628,Internet
24,F,Clerk,1964,033-772-7145,Friends
25,F,Self-employed,1987,057-377-5276,Friends
26,M,Civil servant,1973,029-434-2827,Internet
27,M,Clerk,1984,082-814-8649,Outdoor advertising
28,M,Civil servant,1975,099-382-2153,Friends
29,F,Student,1985,048-434-5286,Outdoor advertising
30,F,Civil servant,1966,033-949-4935,Radio
31,M,Student,1974,043-797-3854,Friends
32,F,Self-employed,1968,093-243-2472,Outdoor advertising
33,F,Student,1976,075-442-2587,Outdoor advertising
34,F,Clerk,1980,056-441-9461,Internet
35,M,Unemployed,1965,044-875-6695,Friends
36,F,Civil servant,1980,015-423-6948,Outdoor advertising
37,M,Clerk,1972,061-856-7841,Internet
38,M,Clerk,1984,067-386-1969,Friends
39,M,Student,1981,069-982-2357,Outdoor advertising
40,F,Clerk,1978,061-783-4599,Outdoor advertising
41,F,Self-employed,1970,058-285-7728,Friends
42,F,Clerk,1975,081-566-8857,Incidental
43,M,Student,1988,051-274-1169,Friends
44,F,Clerk,1983,013-976-2553,Incidental
45,F,Unemployed,1961,065-712-2942,Internet
46,F,Unemployed,1966,092-932-5934,Radio
47,M,Clerk,1991,067-824-8315,Outdoor advertising
48,F,Student,1964,074-684-2128,Outdoor advertising
49,F,Unemployed,1968,021-233-5577,Radio
50,F,Clerk,1971,068-443-1139,Outdoor advertising
51,F,Clerk,1980,022-445-7423,Outdoor advertising
52,M,Unemployed,1964,044-232-4856,Outdoor advertising
53,F,Clerk,1962,042-755-7798,Friends
54,M,Civil servant,1977,052-192-4715,Outdoor advertising
55,F,Unemployed,1982,086-856-1426,Friends
56,M,Clerk,1973,061-727-2936,Outdoor advertising
57,F,Civil servant,1971,039-294-6927,Internet
58,F,Self-employed,1981,015-338-4923,Incidental
59,F,Clerk,1986,046-996-4193,Incidental
60,F,Student,1988,072-851-3468,Outdoor advertising
61,M,Unemployed,1975,029-767-3392,Radio
62,M,Clerk,1982,026-541-9527,Internet
63,F,Unemployed,1969,052-593-1341,Outdoor advertising
64,M,Clerk,1972,078-142-5346,Friends
65,M,Student,1968,074-213-3686,Outdoor advertising
66,M,Self-employed,1969,017-865-6945,Outdoor advertising
67,F,Self-employed,1985,042-344-7626,Friends
68,F,Civil servant,1979,099-542-6435,Outdoor advertising
69,F,Unemployed,1977,054-328-6445,Outdoor advertising
70,M,Self-employed,1983,021-271-1715,Incidental
71,F,Self-employed,1987,094-977-6262,Outdoor advertising
72,M,Clerk,1966,022-571-5452,Outdoor advertising
73,M,Self-employed,1967,031-213-7991,Internet
74,F,Civil servant,1961,038-312-7315,Friends
75,M,Clerk,1968,055-415-1156,Outdoor advertising
76,F,Unemployed,1990,089-153-8336,Incidental
77,M,Unemployed,1986,034-338-8671,Outdoor advertising
78,M,Student,1988,093-314-4746,Internet
79,F,Self-employed,1987,021-863-7636,Outdoor advertising
80,M,Clerk,1984,054-423-2721,Outdoor advertising
81,M,Self-employed,1964,018-993-8685,Outdoor advertising
82,M,Civil servant,1979,062-175-7142,Friends
83,M,Clerk,1987,053-893-2958,Outdoor advertising
84,M,Student,1983,071-594-1438,Outdoor advertising
85,F,Clerk,1989,088-679-4873,Friends
86,F,Clerk,1969,017-858-3885,Internet
87,M,Clerk,1960,091-387-5149,Outdoor advertising
88,F,Clerk,1977,033-966-2747,Friends
89,F,Student,1985,079-231-8942,Friends
